score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline,n_samples,n_channels,metric,evaluation,random_state
0.23,0.44708672,45.0,9.0,2.0,9,0,64,1,PhysionetMotorImagery,CSP+LDA,45.0,64,roc_auc,within_session,42
0.95,0.46553025,45.0,9.0,2.0,2,0,64,1,PhysionetMotorImagery,CSP+LDA,45.0,64,roc_auc,within_session,42
0.48,0.42366526,45.0,9.0,2.0,6,0,64,1,PhysionetMotorImagery,CSP+LDA,45.0,64,roc_auc,within_session,42
0.81,0.43001932,45.0,9.0,2.0,1,0,64,1,PhysionetMotorImagery,CSP+LDA,45.0,64,roc_auc,within_session,42
0.66,0.49272054,45.0,9.0,2.0,8,0,64,1,PhysionetMotorImagery,CSP+LDA,45.0,64,roc_auc,within_session,42
0.57,0.45538163,45.0,9.0,2.0,3,0,64,1,PhysionetMotorImagery,CSP+LDA,45.0,64,roc_auc,within_session,42
0.71,0.4267216,45.0,9.0,2.0,10,0,64,1,PhysionetMotorImagery,CSP+LDA,45.0,64,roc_auc,within_session,42
0.45,0.43497694,45.0,9.0,2.0,5,0,64,1,PhysionetMotorImagery,CSP+LDA,45.0,64,roc_auc,within_session,42
0.67,0.43485108,45.0,9.0,2.0,4,0,64,1,PhysionetMotorImagery,CSP+LDA,45.0,64,roc_auc,within_session,42
1.0,0.4005158,45.0,9.0,2.0,7,0,64,1,PhysionetMotorImagery,CSP+LDA,45.0,64,roc_auc,within_session,42
